id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-127,Did you plant the device in Beirut?,"No, I don’t know anything about it.","Advanced tactic: Direct accusation in a sabotage case in Lebanon. Setting: concrete detention cell, humid.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-128,What’s your cover in Islamabad?,I’m just a journalist.,"Unconventional tactic: Testing deception in a covert op in Pakistan. Setting: busy airport lounge, crowded.",culprit,"Overly neutral, controlled blinking","Steady, gripping bag",Overly composed,"Still, aligned"
INT-129,Did you file the report in Kabul?,"Yes, it’s on record.","Basic tactic: Administrative check post-operation in Afghanistan. Setting: dusty office, generator hum.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-130,Who did you meet in Cairo?,"No one, I was alone.","Intermediate tactic: Probing contacts in an espionage case in Egypt. Setting: crowded police station, noisy.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, arms crossed",Tapping foot on tiled floor
INT-131,What’s the target’s location in Aleppo?,I don’t have that intel.,"Advanced tactic: Strategic probing in a Syrian counterterrorism op. Setting: chaotic command post, gunfire in distance.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-132,Did you follow the route in Basra?,"Yes, exactly as planned.","Basic tactic: Route verification post-patrol in Iraq. Setting: hot military base, smell of oil.",genuine,"Calm, steady eye contact",Resting on knees,"Upright, attentive","Still, feet flat"
INT-133,Are you working with the militia in Tripoli?,"No, I’m loyal.","Intermediate tactic: Loyalty test in a Libyan insider threat case. Setting: dusty safe house, tense atmosphere.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on rug
INT-134,What’s the signal in Amman?,I wasn’t given one.,"Advanced tactic: Signal verification in a Jordanian covert op. Setting: concrete basement, flickering lights.",culprit,"Blank stare, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-135,Why were you delayed in Herat?,"Sandstorm, couldn’t move.","Basic tactic: Routine debrief after late arrival in Afghanistan. Setting: dusty command tent, windy.",genuine,"Relaxed, consistent eye contact","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-136,Did you tamper with the evidence in Tel Aviv?,"No, it’s untouched.","Intermediate tactic: Evidence integrity probe in an Israeli theft case. Setting: modern police station, air-conditioned.",culprit,"Avoids eye contact, slight smirk",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-137,Who’s funding the op in Riyadh?,I don’t know any details.,"Advanced tactic: Financial trail probe in a Saudi espionage case. Setting: sleek interrogation room, city noise.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-138,What’s your alibi in Mogadishu?,I was at a local market.,"Basic tactic: Alibi check in a Somali vandalism case. Setting: humid police station, crowded.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-139,Did you bypass security in Doha?,"No, I followed protocol.","Intermediate tactic: Security breach probe in Qatar. Setting: high-tech security office, sterile.",culprit,"Quick glance down, pursed lips",Fidgeting with pen,"Slouched, defensive",Shuffling on carpet
INT-140,What’s the plan’s timeline in Aden?,I’m not privy to that.,"Advanced tactic: Operational probe in a Yemeni sabotage case. Setting: dimly lit command bunker, tense.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-141,Did you report the incident in Kabul?,"Yes, immediately.","Basic tactic: Incident response check in Afghanistan. Setting: dusty field office, generator hum.",genuine,"Relaxed, steady gaze",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-142,Who’s your contact in Istanbul?,I don’t have one.,"Unconventional tactic: Psychological pressure in a Turkish espionage case. Setting: smoky safe house, low lighting.",culprit,"Blank stare, slight sweat",Clenched under table,Overly composed,"Still, aligned"
INT-143,Why were you at the site in Mosul?,Just routine inspection.,"Basic tactic: Routine check in an Iraqi breach case. Setting: dusty command post, radio chatter.",genuine,"Calm, consistent eye contact","Open, resting on knees","Upright, attentive","Still, feet flat"
INT-144,Did you alter the logs in Dubai?,"No, they’re clean.","Intermediate tactic: Data integrity probe in a UAE cyber case. Setting: sleek tech office, city noise.",culprit,"Avoids eye contact, furrowed brow",Rubbing neck,"Slouched, defensive",Tapping foot on carpet
INT-145,What’s the target’s route in Damascus?,I don’t know their movements.,"Advanced tactic: Intel extraction in a Syrian ambush case. Setting: chaotic command center, distant explosions.",culprit,"Neutral, rapid blinking",Hidden under table,"Rigid, leaning away",Crossed tightly
INT-146,Did you secure the perimeter in Baghdad?,"Yes, all clear.","Basic tactic: Perimeter check debrief in Iraq. Setting: hot military base, smell of dust.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-147,Are you hiding anything in Sana’a?,"No, I’m an open book.","Intermediate tactic: General probe in a Yemeni theft case. Setting: humid police station, fan creaking.",culprit,"Forced smile, quick glance away",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-148,What’s the encryption key in Seoul?,I wasn’t given one.,"Advanced tactic: Technical probe in a South Korean cyber espionage case. Setting: sterile tech lab, humming servers.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-149,Did you see anything in Herat?,"No, everything was normal.","Basic tactic: Witness debrief in an Afghan incident review. Setting: dusty field office, generator hum.",genuine,"Calm, steady eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-150,Who’s your source in Cairo?,I don’t have any sources.,"Unconventional tactic: Deceptive probing in an Egyptian leaks case. Setting: crowded café, smell of coffee.",culprit,"Overly neutral, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-151,Did you complete the task in Erbil?,"Yes, as instructed.","Basic tactic: Task verification post-mission in Iraq. Setting: dusty command tent, radio chatter.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, engaged","Relaxed, uncrossed"
INT-152,Did you meet the contact in Beirut?,"No, I was alone.","Intermediate tactic: Contact probe in a Lebanese espionage case. Setting: humid safe house, city noise.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on rug
INT-153,What’s the operation’s goal in Tehran?,I’m not in the loop.,"Advanced tactic: Strategic probe in an Iranian covert op. Setting: dark, windowless room, tense atmosphere.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-154,Did you log your hours in Djibouti?,"Yes, all recorded.","Basic tactic: Administrative check post-shift in Djibouti. Setting: air-conditioned office, salty air.",genuine,"Calm, consistent eye contact",Resting on table,"Upright, attentive","Still, feet flat"
INT-155,Did you hack the system in Ankara?,"No, I don’t have the skills.","Intermediate tactic: Cyber breach probe in Turkey. Setting: high-tech security office, sterile.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on carpet
INT-156,Who’s the target in Aleppo?,I don’t know any targets.,"Advanced tactic: Target identification in a Syrian counterterrorism op. Setting: chaotic command post, distant gunfire.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-157,Did you follow orders in Basra?,"Yes, to the letter.","Basic tactic: Compliance check post-mission in Iraq. Setting: hot military base, smell of oil.",genuine,"Relaxed, steady gaze","Open, resting on table","Upright, engaged","Relaxed, uncrossed"
INT-158,What’s in the safe in Dubai?,I don’t have access.,"Intermediate tactic: Probing access in a UAE theft case. Setting: sleek hotel conference room, city noise.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on carpet
INT-159,What’s the rendezvous point in Riyadh?,I wasn’t told.,"Advanced tactic: Operational probe in a Saudi covert op. Setting: dimly lit command bunker, tense.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-160,Did you check the perimeter in Kabul?,"Yes, all secure.","Basic tactic: Perimeter check debrief in Afghanistan. Setting: dusty field base, generator hum.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-161,Did you leak the intel in Damascus?,"No, I’d never do that.","Intermediate tactic: Leak probe in a Syrian security breach case. Setting: cramped safe house, smell of diesel.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on rug
INT-162,What’s the device’s purpose in Beirut?,I don’t know anything about it.,"Advanced tactic: Device probe in a Lebanese sabotage case. Setting: concrete detention cell, humid.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-163,Did you attend the briefing in Mogadishu?,"Yes, standard procedure.","Basic tactic: Attendance verification in Somalia. Setting: humid command post, fan creaking.",genuine,"Relaxed, consistent eye contact",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-164,Who’s your accomplice in Ankara?,I work alone.,"Unconventional tactic: Psychological pressure in a Turkish conspiracy case. Setting: smoky café, low lighting.",culprit,"Blank stare, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-165,Did you file the paperwork in Erbil?,"Yes, it’s all submitted.","Basic tactic: Administrative check post-operation in Iraq. Setting: dusty office, generator hum.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-166,Did you hack the system in Seoul?,"No, I don’t have the skills.","Intermediate tactic: Cyber breach probe in South Korea. Setting: sterile tech lab, humming servers.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-167,What’s the mission’s objective in Tehran?,I’m not cleared for that.,"Advanced tactic: Strategic probe in an Iranian covert op. Setting: dark, windowless room, tense atmosphere.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-168,Did you secure the asset in Kabul?,"Yes, it’s safe.","Basic tactic: Asset protection debrief in Afghanistan. Setting: dusty field base, generator hum.",genuine,"Relaxed, open expression",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-169,Did you plant the evidence in Cairo?,"No, that’s not me.","Intermediate tactic: Evidence tampering probe in Egypt. Setting: crowded police station, noisy.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
